epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,15642.6,0.56197,2.21606,0.21159,0.33945,1.04078,0.97673,0.97892,0.99135,0.90612,0.88499,0.86097,0.88092,0.74894,0.50843,1.65714,0.04143,0.24825,0.95033,0.001387,0.001387,0.001387
89,15825.4,0.56631,2.23036,0.21054,0.34117,1.04118,0.97653,0.97897,0.99136,0.90656,0.88641,0.86224,0.8817,0.75022,0.50777,1.65286,0.04136,0.24777,0.94978,0.001288,0.001288,0.001288
90,16002.8,0.56281,2.19505,0.21,0.34234,1.04123,0.97636,0.9788,0.99139,0.90681,0.88699,0.86326,0.8822,0.75078,0.50699,1.64859,0.0413,0.24726,0.94917,0.001189,0.001189,0.001189
91,16179.7,0.45891,1.63286,0.07099,0.24673,0.98201,0.97648,0.97879,0.99139,0.907,0.88698,0.86313,0.88232,0.75152,0.50609,1.64513,0.04105,0.24688,0.94849,0.00109,0.00109,0.00109
92,16351.5,0.45068,1.59947,0.06627,0.24317,0.97401,0.97624,0.97903,0.99141,0.90718,0.88612,0.86373,0.88235,0.75223,0.50496,1.64221,0.04072,0.24647,0.94766,0.000991,0.000991,0.000991
93,16529,0.44363,1.56112,0.06582,0.2378,0.9695,0.97612,0.97945,0.99142,0.90778,0.88641,0.86419,0.88292,0.75357,0.50377,1.63751,0.04032,0.24589,0.94684,0.000892,0.000892,0.000892
94,16701.5,0.43624,1.52534,0.06438,0.23191,0.96654,0.976,0.9796,0.99144,0.90818,0.88829,0.86238,0.88326,0.75465,0.5026,1.63303,0.03996,0.24528,0.94601,0.000793,0.000793,0.000793
95,16875.7,0.43401,1.50395,0.06273,0.23057,0.96608,0.97576,0.97986,0.99145,0.90867,0.88955,0.86314,0.88584,0.75588,0.50141,1.62889,0.03951,0.24478,0.94513,0.000694,0.000694,0.000694
96,17047,0.42891,1.4763,0.0624,0.22861,0.96104,0.97596,0.98037,0.99145,0.90915,0.89024,0.86415,0.88778,0.75667,0.50032,1.62459,0.03915,0.24395,0.94438,0.000595,0.000595,0.000595
97,17218,0.42481,1.4565,0.06105,0.22612,0.9596,0.9761,0.98012,0.99147,0.90928,0.89101,0.86479,0.88864,0.75741,0.49915,1.62037,0.03875,0.24319,0.94352,0.000496,0.000496,0.000496
98,17388.2,0.42009,1.43797,0.06212,0.22255,0.95726,0.97618,0.97999,0.99148,0.90964,0.89045,0.86496,0.88875,0.7587,0.49803,1.61621,0.03836,0.24246,0.9427,0.000397,0.000397,0.000397
99,17562,0.41749,1.41896,0.06147,0.22091,0.95554,0.97611,0.98037,0.9915,0.91038,0.89089,0.86504,0.889,0.75958,0.49697,1.61184,0.03796,0.24173,0.9419,0.000298,0.000298,0.000298
100,17744,0.41386,1.39608,0.05927,0.21846,0.95201,0.97632,0.9805,0.99152,0.91083,0.89121,0.86543,0.88935,0.76015,0.49599,1.60783,0.03759,0.24123,0.94118,0.000199,0.000199,0.000199
